ìÂ;ìÀ
5.18158100;5.1816E-03
5.18158100;5.1816E-03
5.18158100;5.1816E-03
5.18158100;5.1816E-03
5.18181900;5.1818E-03
5.18181900;5.1818E-03
5.18181900;5.1818E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18205800;5.1821E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18229600;5.1823E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18253400;5.1825E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18277300;5.1828E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18301100;5.1830E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18325000;5.1833E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18348800;5.1835E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18372700;5.1837E-03
5.18396500;5.1840E-03
5.18396500;5.1840E-03
5.18396500;5.1840E-03
5.18396500;5.1840E-03
5.18396500;5.1840E-03
5.18396500;5.1840E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18420300;5.1842E-03
5.18444200;5.1844E-03
5.18444200;5.1844E-03
5.18444200;5.1844E-03
5.18468000;5.1847E-03
